time ,effort ,activity 
5 min,low,"Look up how ""design"" is written in 3 languages"
5 min,low,find 3 album cover designs that inspire you
5 min,low,Doodle 5 logos in 5 minutes
5 min,low,Play with type on https://pangrampangram.com
5 min,low,Reorganize your Figma file covers
5 min,low,Take a photo of an interesting texture or shadow and play around with it in PS 
5 min,low,Create a 2-color palette inspired by your outfit
5 min,low,Find and save 3 effective landing page designs
5 min,low,Scroll Pinterest for food truck branding inspo
5 min,low,Redesign the WhatsApp group icon for your cohort like it’s a global design agency
5 min,medium,ecolor the NYC Subway map using 3 tones
5 min,medium,Draft an icon for a “late-night deli” app
5 min,medium,Design a sticker for your alter ego
5 min,medium,Create a 2-color palette inspired by your favorite dish
5 min,medium,Sketch a tattoo for a designer
5 min,medium,Draft a matchbox design for a rooftop bar in SoHo
5 min,medium,Choose a random object & redesign its label
5 min,medium,Design a sticker you’d want to find on an NYC lamppost
5 min,medium,Reimagine the IKEA logo using serif fonts
5 min,medium,"Use Google Maps street view to find a hidden storefront in Chinatown, then rebrand it"
5 min,high,Design a fake movie poster starring your dog 
5 min,high,Design a 5-word type-only poster with hierarchy
5 min,high,Animate your initials in After Effects (lo-fi is fine)
5 min,high,Turn your initials into a geometric monogram
5 min,high,Create a type-only protest sign
5 min,high,Redesign the packaging for your fav NYC bodega store
5 min,high,Make a 3D mockup of a cereal box rebrand
5 min,high,Create a loading animation for a ramen delivery app
5 min,high,Create a logotype for an unnamed fashion brand from Tokyo
5 min,high,Reimagine the Spotify logo for vinyl-only listeners
15 min,low,browse fonts on FutureFonts & add 3 faves to a list
15 min,low,Create a new Behance moodboard for the food you last ate
15 min,low,Make a moodboard called “chaotic good design”
15 min,low,"Redesign the word ""velvet"" to evoke the texture"
15 min,low,Recreate a poster from a favorite MPS memory
15 min,low,Collect 5 menu designs from local spots on Yelp
15 min,low,Find skincare packaging from 3 different continents and compare styles
15 min,low,Collect screenshots of your favorite cafe interiors
15 min,low,Find photos of brutalist buildings & imagine one as a luxury spa
